ABALOPARATIDA,
LENACAPAVIR,
LENALIDOMIDA,
LEVONORGESTREL,
LINVOSELTAMAB,
LINZAGOLIX,
LISOCABTAGÉN MARALEUCEL,
LOMITAPIDA,
LONCASTUXIMAB TESIRINA,
LUTECIO (177LU) VIPIVOTIDA TETRAXETÁN,
MARALIXIBAT,
MARIBAVIR,
MARSTACIMAB,
MAVACAMTEN,
MECASERMINA,
METRELEPTINA,
MIRDAMETINIB,
MIRIKIZUMAB,
MIRVETUXIMAB SORAVTANSINA,
MOMELOTINIB,
MOSUNETUZUMAB,
NALTREXONA + BUPROPION,
NATALIZUMAB,
NELARABINA,
NEMOLIZUMAB,
NIFURTIMOX,
NIPOCALIMAB,
NIRMATRELVIR + RITONAVIR,
NIROGACESTAT,
NIRSEVIMAB,
NIVOLUMAB + RELATLIMAB,
NONACOG BETA PEGOL,
ODEVIXIBAT,
ODRONEXTAMAB,
OLEZARSEN,
OLIPUDASA ALFA,
OMALIZUMAB,
OMAVELOXOLONA,
ONASEMNOGÉN ABEPARVOVEC,
PALOPEGTERIPARATIDA,
PEGCETACOPLÁN,
PEGFILGRASTIM,
PEGUNIGALSIDASA ALFA,
PEGZILARGINASA,
PEMIGATINIB,
PIFLUFOLASTAT (18F),
PIRTOBRUTINIB,
PITOLISANT,
PONESIMOD,
PSMA-1007 (18F),
QUIZARTINIB,
RADAMTS13,
RADIO DICLORURO (223RA),
RANIBIZUMAB,
RDESAT-6 + RCFP-10,
RELUGOLIX,
RELUGOLIX + ESTRADIOL + NORETISTERONA,
RESMETIROM,
RETIFANLIMAB,
RILPIVIRINA,
RIMEGEPANT,
RIPRETINIB,
RITLECITINIB,
RITUXIMAB,
ROXADUSTAT,
ROZANOLIXIZUMAB,
RURIOCTOCOG ALFA PEGOL,
SACITUZUMAB GOVITECÁN,
SATRALIZUMAB,
SEBELIPASA ALFA,
SELADELPAR,
SELINEXOR,
SELPERCATINIB,
SELUMETINIB,
SEMAGLUTIDA,
SERPLULIMAB,
SETMELANOTIDA,
SILTUXIMAB,
SIPAVIBART,
SOMATROGÓN,
SOTATERCEPT,
SOTORASIB,
SOTROVIMAB,
SUSOCTOCOG,
SUTIMLIMAB,
TABELECLEUCEL,
TAFAMIDIS,
TAFASITAMAB,
TAGRAXOFUSP,
TALQUETAMAB,
TEBENTAFUSP,
TECLISTAMAB,
TEDUGLUTIDA,
TEPLIZUMAB,
TEPOTINIB,
TEPROTUMUMAB,
TERIPARATIDA,
TEZEPELUMAB,
TIRBANIBULINA,
TIRZEPATIDA,
TISAGENLECLEUCEL,
TISLELIZUMAB,
TISOTUMAB VEDOTINA,
TOCILIZUMAB,
TOCOFERSOLÁN,
TOFERSÉN,
TORIPALIMAB,
TOXINA BOTULÍNICA A,
TRALOKINUMAB,
TRASTUZUMAB,
TRASTUZUMAB DERUXTECÁN,
TREMELIMUMAB,
TRIFAROTENO,
TUROCTOCOG ALFA PEGOL,
UBLITUXIMAB,
USTEKINUMAB,
VACUNA ANTI COVID-19 (HIPRA) RECOMBINANTE,
VACUNA ANTI COVID-19 (HIPRA) RECOMBINANTE PARA LP.8.1 (PROVISIONAL),
VACUNA ANTI COVID-19 (MODERNA) ARNM PARA LP.8.1 (PROVISIONAL),
VACUNA ANTI COVID-19 (NOVAVAX) PROTEÍNA RECOMBINANTE DE LA ESPÍCULA DE SARS-COV-2,
VACUNA ANTI COVID-19 (NOVAVAX) PROTEÍNA RECOMBINANTE DE LA ESPÍCULA DE SARS-COV-2 (OMICRON JN.1),
VACUNA ANTI COVID-19 (NOVAVAX) PROTEÍNA RECOMBINANTE DE LA ESPÍCULA DE SARS-COV-2 (OMICRON XBB.1.5),
VACUNA ANTI COVID-19 (PFIZER/BIONTECH) ARNM PARA LP.8.1 (PROVISIONAL),
VACUNA ANTI COVID-19 (PFIZER/BIONTECH) BRETOVAMERÁN,
VACUNA ANTI COVID-19 (PFIZER/BIONTECH) CEMIVAMERÁN,
VACUNA ANTI COVID-19 (PFIZER/BIONTECH) FAMTOZINAMERÁN + TOZINAMERÁN,
VACUNA ANTI COVID-19 (PFIZER/BIONTECH) RAXTOZINAMERÁN,
VACUNA ANTI COVID-19 (PFIZER/BIONTECH) TOZINAMERÁN,
VACUNA ANTI DENGUE,
VACUNA ANTI GRIPAL,
VACUNA ANTI NEUMOCOCO,
VACUNA ANTI VIRUELA (HUMANA/MONO),
VACUNA ANTI VIRUS CHIKUNGUNYA,
VACUNA ANTI VIRUS RESPIRATORIO SINCITIAL,
VACUNA ANTI ÉBOLA,
VALOCTOCOGÉN ROXAPARVOVEC,
VAMOROLONA,
VELMANASA ALFA,
VERICIGUAT,
VESTRONIDASA ALFA,
VIBEGRÓN,
VIMSELTINIB,
VOCLOSPORINA,
VOLANESORSEN,
VORASIDENIB,
VORETIGÉN NEPARVOVEC,
VOSORITIDA,
VOXELOTOR,
VUTRISIRÁN,
ZANAMIVIR,
ZANUBRUTINIB,
ZILUCOPLÁN,
ZOLBETUXIMAB,
ÁCIDO CÓLICO,
ÁCIDO QUENODESOXICÓLICO,
ÁCIDO VALPROICO,

